Model,ROC-AUC,Accuracy,Precision,Recall,F1
Logistic Regression,0.7319344816430349,0.6691666666666667,0.7008333333333333,0.6590909090909091,0.6793214862681745
Random Forest,0.7206796148997646,0.6633333333333333,0.6902439024390243,0.6653605015673981,0.6775738228252195
